,name,link,website,min_salary,max_salary,currency
0,div,https://hh.ru/vacancy/52117555?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,800,1000,USD
1,div,https://hh.ru/vacancy/50514589?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,1800,None,USD
2,div,https://hh.ru/vacancy/51844757?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,50000,80000,руб.
3,div,https://hh.ru/vacancy/47015703?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,250000,None,руб.
4,div,https://hh.ru/vacancy/51940950?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,None,300000,руб.
5,div,https://hh.ru/vacancy/51087462?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,350000,500000,руб.
6,div,https://hh.ru/vacancy/51102002?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,140000,None,руб.
7,div,https://hh.ru/vacancy/51852458?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,90000,90000,руб.
8,div,https://hh.ru/vacancy/48024231?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,None,380000,руб.
9,div,https://hh.ru/vacancy/51258222?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru,90000,140000,руб.
